Date: ,Fund: ,Abbreviation: ,Price: ,Rise/Descend: ,Percentage Change: 
03/12/2020,PB GLOBAL OPPORTUNITIES FUND,PBGOPF,0.2887,0.0015,0.52%
03/12/2020,PB GLOBAL TECHNOLOGY & HEALTHCARE FUND,PBGTHF,0.3653,0.0004,0.11%
03/12/2020,PB GREATER CHINA A-SHARES FUND,PBGCASF,0.3208,0.0013,0.41%
03/12/2020,PB GROWTH FUND,PBGF,0.8329,0.0087,1.06%
03/12/2020,PB GROWTH SEQUEL FUND,PBGSQF,0.2764,0.0024,0.88%
03/12/2020,PB INDONESIA BALANCED FUND,PBINDOBF,0.2397,-0.0010,-0.42%
03/12/2020,PB INFRASTRUCTURE BOND FUND,PBINFBF,1.1516,-0.0006,-0.05%
03/12/2020,PB ISLAMIC ASIA EQUITY FUND,PBIAEF,0.3507,0.0020,0.57%
03/12/2020,PB ISLAMIC ASIA STRATEGIC SECTOR FUND,PBIASSF,0.4044,0.0035,0.87%
04/12/2020,PB ISLAMIC BOND FUND,PBIBF,1.1723,0.0014,0.12%
04/12/2020,PB ISLAMIC CASH MANAGEMENT FUND,PBICMF,1.0114,0.0000,0.00%
03/12/2020,PB ISLAMIC DYNAMIC ALLOCATION FUND,PBIDYNAF,1.3953,0.0014,0.10%
03/12/2020,PB ISLAMIC EQUITY FUND,PBIEF,0.3007,0.0025,0.84%
03/12/2020,PB ISLAMIC SMALLCAP FUND,PBISCF,0.3126,0.0015,0.48%
03/12/2020,PB MIXED ASSET CONSERVATIVE FUND,PBMAC,0.2886,0.0011,0.38%
03/12/2020,PB MIXED ASSET GROWTH FUND,PBMAGRF,0.3589,0.0032,0.90%
03/12/2020,PB SINGAPORE ADVANTAGE-30 EQUITY FUND,PBSGA30EF,0.2404,0.0015,0.63%
03/12/2020,PB SMALLCAP GROWTH FUND,PBSCGF,0.2966,0.0030,1.02%
04/12/2020,PB SUKUK FUND,PBSKF,1.0895,0.0008,0.07%
03/12/2020,PB VIETNAM GLOBAL 40 FUND,PBVG40F,0.2486,0.0006,0.24%
